X,Y,TOP_RDG,BOTTOM_RDG,VRT_GRAD,TIME,DATE,LINE,MARK
13.000,0.000,39228.981,39300.196,71.215,21:02:14.10,10/22/24,13,0
13.000,1.000,39218.526,39265.011,46.485,21:02:06.70,10/22/24,13,1
13.000,2.000,39167.463,39244.458,76.995,21:02:01.50,10/22/24,13,2
13.000,3.000,39113.967,39162.062,48.095,21:01:56.40,10/22/24,13,3
13.000,4.000,39047.295,39212.531,165.236,21:01:50.60,10/22/24,13,4
13.000,5.000,38945.883,39104.750,158.867,21:01:43.80,10/22/24,13,5
13.000,6.000,38851.422,38945.984,94.562,21:01:38.90,10/22/24,13,6
13.000,7.000,38733.148,38750.423,17.275,21:01:32.20,10/22/24,13,7
13.000,8.000,38637.870,38571.421,-66.449,21:01:24.10,10/22/24,13,8
13.000,9.000,38559.104,38493.520,-65.584,21:01:15.40,10/22/24,13,9
13.000,10.000,38527.868,38430.941,-96.927,21:01:09.30,10/22/24,13,10
13.000,11.000,38522.964,38406.748,-116.216,21:01:03.90,10/22/24,13,11
13.000,12.000,38550.206,38482.278,-67.928,21:00:55.70,10/22/24,13,12
13.000,13.000,38594.446,38707.015,112.569,21:00:46.50,10/22/24,13,13
13.000,14.000,38602.349,38759.404,157.055,21:00:37.60,10/22/24,13,14
13.000,15.000,38563.642,38722.377,158.735,21:00:29.20,10/22/24,13,15
13.000,16.000,38458.459,38478.442,19.983,21:00:21.60,10/22/24,13,16
13.000,17.000,38348.725,38230.094,-118.631,21:00:14.20,10/22/24,13,17
13.000,18.000,38255.711,38022.378,-233.333,21:00:07.00,10/22/24,13,18
13.000,19.000,38239.309,38017.626,-221.683,21:00:00.00,10/22/24,13,19
13.000,20.000,38315.231,38276.770,-38.461,20:59:53.70,10/22/24,13,20
13.000,21.000,38391.863,38353.217,-38.646,20:59:47.00,10/22/24,13,21
13.000,22.000,38467.302,38481.816,14.514,20:59:41.50,10/22/24,13,22
13.000,23.000,38513.913,38569.839,55.926,20:59:37.40,10/22/24,13,23
13.000,24.000,38506.297,38530.414,24.117,20:59:28.80,10/22/24,13,24
13.000,25.000,38458.442,38809.288,350.846,20:59:16.50,10/22/24,13,25
13.000,26.000,38396.215,38442.071,45.856,20:59:10.20,10/22/24,13,26
13.000,27.000,38359.999,38080.847,-279.152,20:59:03.90,10/22/24,13,27
13.000,28.000,38362.707,38139.723,-222.984,20:59:00.30,10/22/24,13,28
13.000,29.000,38422.504,38423.511,1.007,20:58:55.00,10/22/24,13,29
13.000,30.000,38465.157,38313.066,-152.091,20:58:45.50,10/22/24,13,30
13.000,31.000,38539.610,38436.838,-102.772,20:58:39.00,10/22/24,13,31
